,BS - Year 1,,,,,,,,,,,,BS - Year 2,,,,,,BS - Year 3,,,,,,BS - Year 4,,,,MS - Year 1,,,,,MS - Year 2,
,B19-01,,B19-02,,B19-03,,B19-04,,B19-05,,B19-06,,B18-01,B18-02,B18-03,B18-04,B18-05,B18-06,B17-DS-01,B17-DS-02,B17-SE-01,B17-SE-02,B17-SB-01,B17-RO-01,B16-SE-01,B16-RO-01,B16-DS-01,B16-DS-02,M19-SE-01,M19-SE-02,M19-DS-01,M19-DS-02,M19-RO-01,M18-RO-01,
,Nikolay Kudasov,,,,Dmitriy Gordin,,,,Rasheed Bader,,,,,,,,Artem Kruglov,,,,,Evgeniy Gryaznov,Rustam Gafarov,,,Youssef  Ibrahim,,,Andrey Sadovykh,,Muhammad Fahim,,,,
,313,,,,312,,,,101,,,,,,,,301,,,,,314,303,,,300,,,106,,321,,,,"313, 312, 101, 301, 314, 303, 300, 106, 321"
14:10-15:40,Analytical Geometry and Linear Algebra 2 (Lab),,Data Structure and Algorithms (Lab),,Analytical Geometry and Linear Algebra 2 (Lab),,Data Structure and Algorithms (Lab),,Analytical Geometry and Linear Algebra 2 (Lab),,Data Structure and Algorithms (Lab),,,Control Theory (Lab),,Control Theory (Lab),,Control Theory (Lab),Information Retrieval (Lab),Digital Signal Processing (Lab),Software Systems Design (Lec),,,Digital Signal Processing (Lab),,Mobile robotics and Autonomous driving (Lec),,Practical Machine Learning and Deep Learning (Lab),,,Advanced machine learning (Lab),,Autonomous vehicles (Lec),,
,Ivan Konyukhov,,Nikolay Kudasov,,Viktor Kazorin,,Dmitriy Gordin,,Anastasia Puzankova,,Rasheed Bader,,,Mike Ivanov,,Shamil Mamedov,,Oleg Balakhnov,Rustam Gafarov,Vitaliy Romanov,Eugene Zuev,,,Azat Gaynutdinov,,Gafurov Salimzhan/ Roman Fedorenko,,Youssef  Ibrahim,,,Imad Eddine Ibrahim Bekkouch,,Gafurov Salimzhan/ Roman Fedorenko,,
,320,,316,,303,,318,,101,,312,,,306,,301,,317,313,300,105,,,102,,321,,314,,,106,,321,,"320, 316, 303, 318, 101, 312, 306, 301, 317, 313, 300, 105, 102, 321, 314, 106, 321"
15:45-17:15,,,Analytical Geometry and Linear Algebra 2 (Lab),,,,Analytical Geometry and Linear Algebra 2 (Lab),,,,Analytical Geometry and Linear Algebra 2 (Lab),,Control Theory (Lab),Software Project (Prs.)*,Control Theory (Lab),Software Project (Prs.)*,Control Theory (Lab),Software Project (Prs.),Digital Signal Processing (Lab),Information Retrieval (Lab),,,Digital Signal Processing (Lab),,,Mobile robotics and Autonomous driving (Lab),,,,,,,Autonomous vehicles (Lab),,
,,,Ivan Konyukhov,,,,Viktor Kazorin,,,,Anastasia Puzankova,,Shamil Mamedov,Artem Kruglov,Mike Ivanov,Alexandr Borisov,Oleg Balakhnov,Pavel Kolychev,Vitaliy Romanov,Rustam Gafarov,,,Azat Gaynutdinov,,,Igor' Shapovalov/ Dmitry Devitt,,,,,,,Igor' Shapovalov /Dmitry Devitt,,
,,,320,,,,303,,,,101,,316,301,306,318,317,321,300,313,,,314,,,312,,,,,,,312,,"320, 303, 101, 316, 301, 306, 318, 317, 321, 300, 313, 314, 312, 312"
17:20-18:50,,,,,,,,,,,,,Software Project (Prs.)*,,Software Project (Prs.)*,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,,,,,,,
,,,,,,,,,,,,,Alexandr Borisov,,Pavel Kolychev,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,318,,321,,,,,,,,,,,,,,,,,,,,"318, 321"
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,*Starting form the second week,,,,,,,,,,,,,,,,,,,,,,*Starting form the second week
WEDNESDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,,,,,,,,,,,,,,,,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:35-12:05,Introduction to Programming 2 (Lec),,,,,,,,,,,,Probability and Statistics (Lec),,,,,,,,,,,,,,,,,,Advanced statistics (*),,Advanced robotics (Lab),,
,Eugene Zuev,,,,,,,,,,,,Sergey Gorodetskiy,,,,,,,,,,,,,,,,,,Giancarlo Succi,,Simeon Nedelchev / Mikhail Ostanin,,
,108,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,321,,318,,"108, 105, 321, 318"
12:10-13:40,Introduction to Programming 2 (tutorial),,,,,,,,,,,,Probability and Statistics (tutorial),,,,,,Data Mining (Lec) ,,Lean Software Development (Lec)  ,,,Sensors and Sensing (Lec),,,,,,,Advanced statistics (Lab),,,,
,Ivan Konyukhov,,,,,,,,,,,,Sergey Gorodetskiy,,,,,,Leonid Merkin,,Giancarlo Succi,,,Ilya Afanasyev,,,,,,,Mohammad Bahrami,,,,
,108,,,,,,,,,,,,105,,,,,,106,,313,,,317,,,,,,,321,,,,"108, 105, 106, 313, 317, 321"
14:10-15:40,Introduction to Programming 2 (Lab),,,,Introduction to Programming 2 (Lab),,,,Introduction to Programming 2 (Lab),,,,Data Modeling and Databases 2 (Lab),Probability and Statistics (Lab),Data Modeling and Databases 2 (Lab),Probability and Statistics (Lab),Data Modeling and Databases 2 (Lab),Probability and Statistics (Lab),Data Mining (Lab),,Software Systems Design (Lab),,,Sensors and Sensing (Lab),,,,,,,,,,,
,Anastasia Puzankova,,,,Marat Mingazov,,,,Ivan Konyukhov,,,,Hamza Salem,Pavel Khakimov,Anton Tarasov,Joseph Lamptey,Nikita Bogomazov,Alexey Shikulin,Ivan Grebenkin,,Sirojiddin Komolov,,,Geesara Prathap Kulathunga,,,,,,,,,,,
,101,,,,318,,,,312,,,,316,320,314,306,303,317,313,,321,,,301,,,,,,,,,,,"101, 318, 312, 316, 320, 314, 306, 303, 317, 313, 321, 301"
15:45-17:15,,,Introduction to Programming 2 (Lab),,,,Introduction to Programming 2 (Lab),,,,Introduction to Programming 2 (Lab),,Probability and Statistics (Lab),Data Modeling and Databases 2 (Lab),Probability and Statistics (Lab),Data Modeling and Databases 2 (Lab),Probability and Statistics (Lab),Data Modeling and Databases 2 (Lab),,Data Mining (Lab),,Software Systems Design (Lab),,,,,,,,,,,,,
,,,Anastasia Puzankova,,,,Marat Mingazov,,,,Ivan Konyukhov,,Pavel Khakimov,Hamza Salem,Joseph Lamptey,Anton Tarasov,Alexey Shikulin,Nikita Bogomazov,,Ivan Grebenkin,,Sirojiddin Komolov,,,,,,,,,,,,,
,,,101,,,,318,,,,312,,320,316,306,314,317,303,,313,,321,,,,,,,,,,,,,"101, 318, 312, 320, 316, 306, 314, 317, 303, 313, 321"
17:20-18:50,,,,,,,,,,,,,,,,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,,,"
",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THURSDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,Theoretical Computer Science (Lec),,,,,,,,,,,,,,,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,,,,,,,
,Manuel Mazzara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
10:35-12:05,Theoretical Computer Science (tut.),,,,,,,,,,,,Networks (Lec),,,,,,Game theory (lec),,,,,Mechanics and Machines (Lec),,,,,Analysis of software artifacts,,,,,,
,Daniel De Carvalho,,,,,,,,,,,,Rasheed Hussain,,,,,,Joseph Brown,,,,,Alexandr Maloletov,,,,,Andrey Sadovykh,,,,,,
,108,,,,,,,,,,,,105,,,,,,106,,,,,318,,,,,313,,,,,,"108, 105, 106, 318, 313"
