F,Weekday,Booked aud by core courses,Time,Natural Language Processing and Machine Learning,Computer Graphics in Game Development,Advanced agile software design,Modern Application Production,Design Patterns,Economics of Entrepreneurship in IT Industry,Enterprise programming on Javascript - Advanced,Total Virtualization,Product's highly loaded architecture,DevOps,Human Computer Interaction Design for AI,Technical Writing and Communication,Introduction to  Public Speaking for IT-specialist,Advanced Topics in Software Testing,Critical Thinking for IT-specialist,Reading Skills  for IT-specialist,Introduction to IT Entrepreneurship,Programming Windows Services with C++,Advanced Academic Research- Writing and Performance,Volunteer and Crowd-based Approaches in Computing,Design Fiction,Tech Startup Design,Business-track,Personal Efficiency Skills of IT-specialist,Programming in Haskell,Consensus theory and concurrent programming on a shared memory,Functional Programming and Scala Language,Practical Artificial Intelligence,Introduction to Career Development for IT-specialist,Mobile development using QT,Psychology of IT-specialist,Russian as a foreign language,Software Requirements and Specifications,,,,,,
,,,12:10-13:40,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,,"DevOps
Alfredo Capozucca
103",,,,,,,"Introduction to IT-Entrepreneurship
Alexander Semenov
314","Programming Windows Services with C++
Alexey Kostyushko
317",,"Volunteer and Crowd-based Approaches in Computing
Salvatore Distefano
104","Design Fiction
Olga Ignatieva
303","Tech Startup Design
Tatiana Bobrus
301","Business-track
Yuliya Krasylnykova
102",,,,,,,,,,,,,,,,
,,,14:10-15:40,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,"Product's highly loaded architecture
Konstantin Arkhipov
102","DevOps
Alfredo Capozucca
103",,,,,,,,,"Advanced Academic Research- Writing and Performance
Alexey Kosyushko
317",,,,,,,,,,,"Mobile development with QT
Sveta Burikova
314",,,,,,,,,
,,,15:45-17:15,,,,,,,,,"Product's highly loaded architecture
Konstantin Arkhipov
102",,,,,,,,,,"Advanced Academic Research- Writing and Performance
Alexey Kosyushko
317",,,,,,,,,,,"Mobile development with QT
Sveta Burikova
314",,,,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russian as a foreign language (Advanced)
Svetlana Sokolova
305",,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2020 ,Saturday,,09:00-10:30,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,,"DevOps
Alfredo Capozucca
103","Human Computer Interaction Design for AI
Sebastian Denef
101",,,,,,"Introduction to IT-Entrepreneurship
Alexander Semenov
314",,,"Volunteer and Crowd-based Approaches in Computing
Salvatore Distefano
104",,,,,,,,,,,,,,,,,,,
,,,10:35-12:05,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,,"DevOps
Alfredo Capozucca
103","Human Computer Interaction Design for AI
Sebastian Denef
101",,,,"Critical Thinking for IT-specialist
Sergey Kladko
102",,"Introduction to IT-Entrepreneurship
Alexander Semenov
314","Programming Windows Services with C++
Alexey Kostyushko
306",,"Volunteer and Crowd-based Approaches in Computing
Salvatore Distefano
104","Design Fiction
Olga Ignatieva
316","Tech Startup Design
Tatiana Bobrus
320",,,,,,,,,,,,,,,,,
,,,12:10-13:40,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,,"DevOps
Alfredo Capozucca
103","Human Computer Interaction Design for AI
Sebastian Denef
101",,,,"Critical Thinking for IT-specialist
Sergey Kladko
102",,"Introduction to IT-Entrepreneurship
Alexander Semenov
314","Programming Windows Services with C++
Alexey Kostyushko
306",,"Volunteer and Crowd-based Approaches in Computing
Salvatore Distefano
104","Design Fiction
Olga Ignatieva
316","Tech Startup Design
Tatiana Bobrus
320",,,,,,,,,,,,,,,,,
,,,14:10-15:40,,"Computer Graphics in Game Development
Ivan Belyavtsev
312",,,,,,,,,"Human Computer Interaction Design for AI
Sebastian Denef
101",,,,,"Reading Skills  for IT-specialist
Sergey Kladko
102",,,"Advanced Academic Research- Writing and Performance
Alexey Kosyushko
306",,,,,,,,,,,,,,,,,,,,
,,,15:45-17:15,,,,,,,,,,,,,,,,"Reading Skills  for IT-specialist
Sergey Kladko
102",,,,,,,,,,,,,,,,,,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/01/2020 ,Monday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Yuliya Krasylnykova
103",,,,,,,,,"Russian as a foreign language (Beginners) (8:00 - 9:30)
Svetlana Sokolova
320",,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Yuliya Krasylnykova
103",,,,,,,,,,,,,,,,
,,,12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,"Functional Programming and Scala Language (Lab)
Eugene Zuev
101",,,,,,,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2020 ,Tuesday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Iouri Kotorov
102",,,,,,,,,,,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Iouri Kotorov
102",,"Programming in Haskell
Nikolay Kudasov
101",,,,,,,,,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,"Programming in Haskell
Nikolay Kudasov
101",,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2020 ,Wednesday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Yuliya Krasylnykova
102",,,,,,,,,"Russian as a foreign language (Advanced) (8:00 - 9:30)
Svetlana Sokolova
320",,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Yuliya Krasylnykova
102",,,"Consensus theory and concurrent programming on a shared memory (Lec)
Alexander Tormasov
313",,,,,,,,,,,,,
,,,12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Yuliya Krasylnykova
102",,,,,,,,,,,,,,,,
